PLU,COMMODITY,VARIETY,EXPIRATION_PANTRY,EXPIRATION_FRIDGE
4514,ALFALFA SPROUTS,,,
4924,ALMONDS,,,
4925,ALMONDS,,,
3064,ALOE VERA LEAVES,,,
3463,Amaranth/Callaloo/Een Choy,,,
3338,ANISE,,,
4860,APPLE SLICES,(Dried Fruit),,
3000,APPLES,Alkmene,21,45
3001,APPLES,Aurora/Southern Rose,21,45
3002,APPLES,Cantared,21,45
3003,APPLES,D'Estivale,21,45
3004,APPLES,Discovery,21,45
3005,APPLES,Golden Delicious Blush,21,45
3006,APPLES,Ingrid Marie,21,45
3007,APPLES,Lochbuie,21,45
3008,APPLES,Rubinette,21,45
3009,APPLES,Russet,21,45
3010,APPLES,Cripps Red,21,45
3011,APPLES,Worcester,21,45
3065,APPLES,Cameo,21,45
3066,APPLES,Cameo,21,45
3067,APPLES,Swiss Gourmet,21,45
3068,APPLES,Swiss Gourmet,21,45
3069,APPLES,"Gravenstein, Red",21,45
3070,APPLES,"Gravenstein, Red",21,45
3071,APPLES,"Granny Smith, Red",21,45
3072,APPLES,Lady,21,45
3073,APPLES,Macoun,21,45
3074,APPLES,Greening (RI),21,45
3075,APPLES,Baldwin,21,45
3076,APPLES,Melrose,21,45
3077,APPLES,Northern Spy,21,45
3078,APPLES,Liberty,21,45
3104,APPLES,RoHo 3615,21,45
3271,APPLES,Virginia Gold,21,45
3272,APPLES,Sommerfeld,21,45
3283,APPLES,Honeycrisp,21,45
3284,APPLES,Red Delicious,21,45
3285,APPLES,Golden Delicious,21,45
3290,APPLES,Aurora/Southern Rose,21,45
3291,APPLES,Boskoop/Belle de Boskoop,21,45
3292,APPLES,Boskoop/Belle de Boskoop,21,45
3293,APPLES,Scifresh,21,45
3294,APPLES,Scifresh,21,45
3295,APPLES,Sciearly,21,45
3296,APPLES,Sciearly,21,45
3297,APPLES,Scired,21,45
3298,APPLES,Redfield,21,45
3299,APPLES,Sonya,21,45
3300,APPLES,Sonya,21,45
3301,APPLES,Cripps Red,21,45
3315,APPLES,Scilate,21,45
3339,APPLES,Belchard - Chantecler,21,45
3340,APPLES,Bertanne/Golden Russet,21,45
3341,APPLES,Charles Ross,21,45
3342,APPLES,Delblush,21,45
3343,APPLES,Dessert,21,45
3344,APPLES,Gloster,21,45
3345,APPLES,Gloster,21,45
